symbol,name,category,date,adj_close,source
XLE,Energy Select Sector SPDR,Sector,2017-01-01,24.735790,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-02-01,24.220037,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-03-01,23.717852,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-04-01,23.156956,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-05-01,22.337721,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-06-01,22.160215,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-07-01,22.897062,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-08-01,21.642574,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-09-01,23.536335,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-10-01,23.647793,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-11-01,24.062187,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2017-12-01,25.162565,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-01-01,26.238024,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-02-01,23.395130,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-03-01,23.629993,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-04-01,26.057673,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-05-01,26.837879,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-06-01,26.809643,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-07-01,27.410139,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-08-01,26.457605,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-09-01,26.919647,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-10-01,24.034264,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-11-01,23.658501,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2018-12-01,20.523603,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-01-01,23.038181,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-02-01,23.569157,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-03-01,23.883423,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-04-01,24.067095,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-05-01,21.394999,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-06-01,23.193388,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-07-01,23.034044,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-08-01,21.116383,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-09-01,21.748253,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-10-01,21.487452,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-11-01,21.832233,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2019-12-01,22.258572,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-01-01,20.603319,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-02-01,17.453453,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-03-01,11.203825,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-04-01,14.978403,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-05-01,15.277966,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-06-01,14.919273,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-07-01,14.384003,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-08-01,14.232301,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-09-01,11.956729,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-10-01,11.654318,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-11-01,14.916875,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2020-12-01,15.379477,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-01-01,16.169098,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-02-01,19.800159,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-03-01,20.174368,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-04-01,20.525562,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-05-01,21.697498,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-06-01,22.387365,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-07-01,20.735331,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-08-01,20.319696,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-09-01,21.868864,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-10-01,24.420668,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-11-01,23.196873,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2021-12-01,23.583557,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-01-01,28.374018,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-02-01,30.379827,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-03-01,32.902161,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-04-01,32.656315,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2022-05-01,37.892616,Yahoo Finance monthly adjusted close
